Block_type,Block_num,Name,SMILES,g/mol,CAD,Quantity,$/mol,Manual?
a,1,quinolin-6-ylboronic acid,OB(O)c1ccc2ncccc2c1,172.98,174.01,1,30100.2498,
a,2,"(3,5-difluorophenyl)boronic acid",OB(O)c1cc(F)cc(F)c1,157.912,99.4,5,3139.29056,
a,3,-,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,343.232,120,1,41187.84,
a,4,"(2,5-dichlorophenyl)boronic acid",OB(O)c1cc(Cl)ccc1Cl,190.822,119,5,4541.5636,
a,5,furan-2-ylboronic acid,OB(O)c1ccco1,111.893,69,1,7720.617,
a,6,(5-(methylthio)pyridin-3-yl)boronic acid,CSc1cncc(B(O)O)c1,169.014,149.359,0.25,100975.0481,
a,7,"(E)-6-methyl-2-styryl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(C=Cc1ccccc1)OC(=O)C2,259.07,175,5,9067.45,
a,8,thiazol-2-ylboronic acid,OB(O)c1nccs1,128.949,1236.9,1,159497.0181,
a,9,(2-fluoropyridin-4-yl)boronic acid,OB(O)c1ccnc(F)c1,140.91,67.7,0.25,38158.428,
a,10,(4-fluoronaphthalen-1-yl)boronic acid,OB(O)c1ccc(F)c2ccccc12,189.982,241.32,1,45846.45624,
a,11,(5-(methylsulfonyl)pyridin-3-yl)boronic acid,CS(=O)(=O)c1cncc(B(O)O)c1,201.012,327.99,0.25,263719.7035,
b,1,"2-(2-bromophenyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,311.928,19.1,1,5957.8248,
b,2,"2-(3-bromothiophen-2-yl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,317.957,36.6,1,11637.2262,
b,3,"(Z)-2-(1-bromoprop-1-en-2-yl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",CC(=CBr)[B-]12OC(=O)C[N+]1(C)CC(=O)O2,275.895,112,1,30900.24,
b,4,"(E)-2-(3-bromostyryl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(C=Cc1cccc(Br)c1)OC(=O)C2,337.966,163,1,55088.458,
b,5,"2-(2-bromo-6-fluorophenyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1c(F)cccc1Br)OC(=O)C2,329.918,37.3,1,12305.9414,
b,6,"2-(4-bromo-1-methyl-1H-pyrazol-5-yl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,315.92,33.7,1,10646.504,
b,7,"2-(5-bromothiophen-2-yl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1ccc(Br)s1)OC(=O)C2,317.957,48.8,1,15516.3016,
